,Athlete,Sport
0,Michael Phelps,Swimming
1,Natalie Coughlin,Swimming
2,Aleksey Nemov,Gymnastics
3,Alicia Coutts,Swimming
4,Missy Franklin,Swimming
5,Ryan Lochte,Swimming
6,Allison Schmitt,Swimming
7,Ian Thorpe,Swimming
8,Dara Torres,Swimming
9,Cindy Klassen,Speed Skating
10,Nastia Liukin,Gymnastics
11,Marit Bjørgen,Cross Country Skiing
12,Sun Yang,Swimming
13,Kirsty Coventry,Swimming
14,Libby Lenton-Trickett,Swimming
15,Inge de Bruijn,Swimming
16,Petria Thomas,Swimming
17,Gary Hall Jr.,Swimming
18,Michael Klim,Swimming
19,Susie O'Neill,Swimming
20,Jenny Thompson,Swimming
21,Pieter van den Hoogenband,Swimming
22,An Hyeon-Su,Short-Track Speed Skating
23,Aliya Mustafina,Gymnastics
24,Shawn Johnson,Gymnastics
25,Dmitry Sautin,Diving
26,Leontien Zijlaard-van Moorsel,Cycling
27,Petter Northug Jr.,Cross Country Skiing
28,Ole Einar Bjørndalen,Biathlon
29,Janica Kostelic,Alpine Skiing
30,Nathan Adrian,Swimming
31,Yannick Agnel,Swimming
32,Brittany Elmslie,Swimming
33,Matt Grevers,Swimming
34,Ryosuke Irie,Swimming
35,Cullen Jones,Swimming
36,Ranomi Kromowidjojo,Swimming
37,Camille Muffat,Swimming
38,Mel Schlanger,Swimming
39,Emily Seebohm,Swimming
40,Rebecca Soni,Swimming
41,Satomi Suzuki,Swimming
42,Dana Vollmer,Swimming
43,Alain Bernard,Swimming
44,László Cseh Jr.,Swimming
45,Margaret Hoelzer,Swimming
46,Katie Hoff,Swimming
47,Leisel Jones,Swimming
48,Kosuke Kitajima,Swimming
49,Andrew Lauterstein,Swimming
50,Jason Lezak,Swimming
51,Pang Jiaying,Swimming
52,Aaron Peirsol,Swimming
53,Steph Rice,Swimming
54,Jess Schipper,Swimming
55,Eamon Sullivan,Swimming
56,Amanda Beard,Swimming
57,Antje Buschschulte,Swimming
58,Ian Crocker,Swimming
59,Grant Hackett,Swimming
60,Brendan Hansen,Swimming
61,Jodie Henry,Swimming
62,Otylia Jedrzejczak,Swimming
63,Laure Manaudou,Swimming
64,Kaitlin Sandeno,Swimming
65,Roland Schoeman,Swimming
66,Therese Alshammar,Swimming
67,Yana Klochkova,Swimming
68,Lenny Krayzelburg,Swimming
69,Massimiliano Rosolino,Swimming
70,Matt Welsh,Swimming
71,Lee Jeong-Su,Short-Track Speed Skating
72,Apolo Anton Ohno,Short-Track Speed Skating
73,Wang Meng,Short-Track Speed Skating
74,Jin Seon-Yu,Short-Track Speed Skating
75,Lee Ho-Seok,Short-Track Speed Skating
76,Marc Gagnon,Short-Track Speed Skating
77,Yang Yang (A),Short-Track Speed Skating
78,Stephanie Beckert,Speed Skating
79,Martina Sáblíková,Speed Skating
80,Enrico Fabris,Speed Skating
81,Chad Hedrick,Speed Skating
82,Jochem Uytdehaage,Speed Skating
83,Sabine Völker,Speed Skating
84,Gregor Schlierenzauer,Ski Jumping
85,Lars Bystøl,Ski Jumping
86,Johnny Spillane,Nordic Combined
87,Felix Gottwald,Nordic Combined
88,Georg Hettich,Nordic Combined
89,Samppa Lajunen,Nordic Combined
90,Aly Raisman,Gymnastics
91,Kohei Uchimura,Gymnastics
92,Zou Kai,Gymnastics
93,Cheng Fei,Gymnastics
94,Yang Wei,Gymnastics
95,Yang Yilin,Gymnastics
96,Marian Dragulescu,Gymnastics
97,Paul Hamm,Gymnastics
98,Carly Patterson,Gymnastics
99,Catalina Ponor,Gymnastics
100,Simona Amânar,Gymnastics
101,Svetlana Khorkina,Gymnastics
102,Yekaterina Lobaznyuk,Gymnastics
103,Yelena Zamolodchikova,Gymnastics
104,Guo Shuang,Cycling
105,Chris Hoy,Cycling
106,Bradley Wiggins,Cycling
107,Florian Rousseau,Cycling
